Date,Open,High,Low,Close,Volume,Screenshot_Source,Verified_Yahoo,Notes
2024-10-18,417.14,419.65,416.26,418.16,17145300,user_csv,pending,
2024-10-21,416.12,418.96,413.75,418.78,14206100,user_csv,pending,
2024-10-22,418.49,430.58,418.04,427.51,25482200,user_csv,pending,
2024-10-23,430.86,431.08,422.53,424.6,19654400,user_csv,pending,
2024-10-24,425.33,425.98,422.4,424.73,13581600,user_csv,pending,
2024-10-25,426.76,432.52,426.57,428.15,16899100,user_csv,pending,
2024-10-28,431.66,431.94,426.3,426.59,14882400,user_csv,pending,
2024-10-29,428,433.17,425.8,431.95,17644100,user_csv,pending,
2024-10-30,437.44,438.5,432.1,432.53,29749100,user_csv,pending,
2024-10-31,415.36,416.16,406.3,406.35,53971000,user_csv,pending,
2024-11-01,409.01,415.5,407.5,410.37,24230400,user_csv,pending,
2024-11-04,409.8,410.42,405.57,408.46,19672300,user_csv,pending,
2024-11-05,408.37,414.9,408.08,411.46,17626000,user_csv,pending,
2024-11-06,412.42,420.45,410.52,420.18,26681800,user_csv,pending,
2024-11-07,421.28,426.85,419.88,425.43,19901800,user_csv,pending,
2024-11-08,425.32,426.5,421.78,422.54,16891400,user_csv,pending,
2024-11-11,422.52,424.81,416,418.01,24503300,user_csv,pending,
2024-11-12,418.25,424.44,417.2,423.03,19401200,user_csv,pending,
2024-11-13,421.64,429.33,418.21,425.2,21502200,user_csv,pending,
2024-11-14,425,428.17,420,426.89,30246900,user_csv,pending,
2024-11-15,419.82,422.8,413.64,415,28247600,user_csv,pending,
2024-11-18,414.87,418.4,412.1,415.76,24727000,user_csv,pending,
2024-11-19,413.11,417.94,411.55,417.79,18133500,user_csv,pending,
2024-11-20,416.87,417.29,410.58,415.49,19191700,user_csv,pending,
2024-11-21,419.5,419.78,410.29,412.87,20780200,user_csv,pending,
2024-11-22,411.37,417.4,411.06,417,24814600,user_csv,pending,
2024-11-25,418.38,421.08,414.85,418.79,27691100,user_csv,pending,
2024-11-26,419.59,429.04,418.85,427.99,23458900,user_csv,pending,
2024-11-27,425.11,427.23,422.02,422.99,18332400,user_csv,pending,
2024-11-29,420.09,424.88,417.8,423.46,16271900,user_csv,pending,
2024-12-02,421.57,433,421.31,430.98,20207200,user_csv,pending,
2024-12-03,429.84,432.47,427.74,431.2,18302000,user_csv,pending,
2024-12-04,433.03,439.67,432.63,437.42,26009400,user_csv,pending,
2024-12-05,437.92,444.66,436.17,442.62,21697800,user_csv,pending,
2024-12-06,442.3,446.1,441.77,443.57,18821000,user_csv,pending,
2024-12-09,442.6,448.33,440.5,446.02,19144400,user_csv,pending,
2024-12-10,444.39,449.62,441.6,443.33,18469500,user_csv,pending,
2024-12-11,444.05,450.35,444.05,448.99,19200200,user_csv,pending,
2024-12-12,449.11,456.16,449.11,449.56,20834800,user_csv,pending,
2024-12-13,448.44,451.43,445.58,447.27,20177800,user_csv,pending,
2024-12-16,447.27,452.18,445.28,451.59,23598800,user_csv,pending,
2024-12-17,451.01,455.29,449.57,454.46,22733500,user_csv,pending,
2024-12-18,451.32,452.65,437.02,437.39,24444500,user_csv,pending,
2024-12-19,441.62,443.18,436.32,437.03,22963700,user_csv,pending,
2024-12-20,433.11,443.74,428.63,436.6,64263700,user_csv,pending,
2024-12-23,436.74,437.65,432.83,435.25,19152500,user_csv,pending,
2024-12-24,434.65,439.6,434.19,439.33,7164500,user_csv,pending,
2024-12-26,439.08,440.94,436.63,438.11,8194200,user_csv,pending,
2024-12-27,434.6,435.22,426.35,430.53,18117700,user_csv,pending,
2024-12-30,426.06,427.55,421.9,424.83,13158700,user_csv,pending,
2024-12-31,426.1,426.73,420.66,421.5,13246500,user_csv,pending,
2025-01-02,425.53,426.07,414.85,418.58,16896500,user_csv,pending,
2025-01-03,421.08,424.03,419.54,423.35,16662900,user_csv,pending,
2025-01-06,428,434.32,425.48,427.85,20573600,user_csv,pending,
2025-01-07,429,430.65,420.8,422.37,18139100,user_csv,pending,
2025-01-08,423.46,426.97,421.54,424.56,15054600,user_csv,pending,
2025-01-10,424.63,424.71,415.02,418.95,20201100,user_csv,pending,
2025-01-13,415.24,418.5,412.29,417.19,17604800,user_csv,pending,
2025-01-14,417.81,419.74,410.72,415.67,16935900,user_csv,pending,
2025-01-15,419.13,428.15,418.27,426.31,19637800,user_csv,pending,
2025-01-16,428.7,429.49,424.39,424.58,15300000,user_csv,pending,
2025-01-17,434.09,434.48,428.17,429.03,26197500,user_csv,pending,
2025-01-21,430.2,430.9,425.6,428.5,26085700,user_csv,pending,
2025-01-22,437.56,447.27,436,446.2,27803800,user_csv,pending,
2025-01-23,442,446.75,441.5,446.71,18389300,user_csv,pending,
2025-01-24,445.16,446.65,441.4,444.06,15549500,user_csv,pending,
2025-01-27,424.01,435.2,423.5,434.56,35647800,user_csv,pending,
2025-01-28,434.6,448.38,431.38,447.2,23491700,user_csv,pending,
2025-01-29,446.69,446.88,440.4,442.33,23581400,user_csv,pending,
2025-01-30,418.77,422.86,413.16,414.99,54586300,user_csv,pending,
2025-01-31,418.98,420.69,414.91,415.06,34161900,user_csv,pending,
2025-02-03,411.6,415.41,408.66,410.92,25679100,user_csv,pending,
2025-02-04,412.69,413.92,409.74,412.37,20532100,user_csv,pending,
2025-02-05,412.35,413.83,410.4,413.29,16316700,user_csv,pending,
2025-02-06,414,418.2,414,415.82,16309800,user_csv,pending,
2025-02-07,416.48,418.65,408.1,409.75,22886800,user_csv,pending,
2025-02-10,413.71,415.46,410.92,412.22,20817900,user_csv,pending,
2025-02-11,409.64,412.49,409.3,411.44,18140600,user_csv,pending,
2025-02-12,407.21,410.75,404.37,409.04,19121700,user_csv,pending,
2025-02-13,407,411,406.36,410.54,23891700,user_csv,pending,
2025-02-14,407.79,408.91,405.88,408.43,22758500,user_csv,pending,
2025-02-18,408,410.6,406.5,409.64,21423100,user_csv,pending,
2025-02-19,407.88,415.49,407.65,414.77,24114200,user_csv,pending,
2025-02-20,415.29,419.31,412.54,416.13,23508700,user_csv,pending,
2025-02-21,417.34,418.05,407.89,408.21,27524800,user_csv,pending,
2025-02-24,408.51,409.37,399.32,404,26443700,user_csv,pending,
2025-02-25,401.1,401.92,396.7,397.9,29387400,user_csv,pending,
2025-02-26,398.01,403.6,394.25,399.73,19619000,user_csv,pending,
2025-02-27,401.27,405.74,392.17,392.53,21127400,user_csv,pending,
2025-02-28,392.66,397.63,386.57,396.99,32845700,user_csv,pending,
2025-03-03,398.82,398.82,386.16,388.49,23007700,user_csv,pending,
2025-03-04,383.4,392.58,381,388.61,29342900,user_csv,pending,
2025-03-05,389.34,401.67,388.81,401.02,23433100,user_csv,pending,
2025-03-06,394.28,402.15,392.68,396.89,23304600,user_csv,pending,
2025-03-07,392.32,394.8,385.54,393.31,22034100,user_csv,pending,
2025-03-10,385.84,386.4,377.22,380.16,32840100,user_csv,pending,
2025-03-11,379,386,376.91,380.45,30380200,user_csv,pending,
2025-03-12,382.95,385.22,378.95,383.27,24253600,user_csv,pending,
2025-03-13,383.16,385.32,377.45,378.77,20473000,user_csv,pending,
2025-03-14,379.78,390.23,379.51,388.56,19952800,user_csv,pending,
2025-03-17,386.7,392.71,385.57,388.7,22474300,user_csv,pending,
2025-03-18,387.07,387.37,381.1,383.52,19486900,user_csv,pending,
2025-03-19,385.53,389.68,384,387.82,19185500,user_csv,pending,
2025-03-20,385.74,391.79,383.28,386.84,18470500,user_csv,pending,
2025-03-21,383.22,391.74,382.8,391.26,39675900,user_csv,pending,
2025-03-24,395.4,395.4,389.81,393.08,21004500,user_csv,pending,
2025-03-25,393.92,396.36,392.64,395.16,15775000,user_csv,pending,
2025-03-26,395,395.31,388.57,389.97,16108400,user_csv,pending,
2025-03-27,390.13,392.24,387.4,390.58,13766800,user_csv,pending,
2025-03-28,388.08,389.13,376.93,378.8,21632000,user_csv,pending,
2025-03-31,372.54,377.07,367.24,375.39,35184700,user_csv,pending,
2025-04-01,374.65,382.85,373.23,382.19,19689500,user_csv,pending,
2025-04-02,377.97,385.08,376.62,382.14,16092600,user_csv,pending,
2025-04-03,374.79,377.48,369.35,373.11,30198000,user_csv,pending,
2025-04-04,364.13,374.59,359.48,359.84,49209900,user_csv,pending,
2025-04-07,350.88,371,344.79,357.86,50425000,user_csv,pending,
2025-04-08,368.26,373.65,350.25,354.56,35868900,user_csv,pending,
2025-04-09,353.54,393.23,353.1,390.49,50199700,user_csv,pending,
2025-04-10,382.06,383.9,367.8,381.35,38024400,user_csv,pending,
2025-04-11,380.64,390.05,378.89,388.45,23839200,user_csv,pending,
2025-04-14,393.22,394.65,384.21,387.81,19251200,user_csv,pending,
2025-04-15,388.51,391.89,384.16,385.73,17199900,user_csv,pending,
2025-04-16,380.67,381.61,368,371.61,21967800,user_csv,pending,
2025-04-17,373.75,374.32,366.89,367.78,21120200,user_csv,pending,
2025-04-21,362.82,364.48,355.67,359.12,20807300,user_csv,pending,
2025-04-22,363.38,367.77,359.86,366.82,19485000,user_csv,pending,
2025-04-23,376.06,380.39,373.02,374.39,20545500,user_csv,pending,
2025-04-24,375.7,388.45,375.19,387.3,22232300,user_csv,pending,
2025-04-25,387,392.16,384.6,391.85,18973200,user_csv,pending,
2025-04-28,391.96,392.74,386.64,391.16,16579400,user_csv,pending,
2025-04-29,391.3,395.1,390.38,394.04,14974000,user_csv,pending,
2025-04-30,390.3,396.66,384.44,395.26,36461100,user_csv,pending,
2025-05-01,431.11,436.99,424.9,425.4,58938100,user_csv,pending,
2025-05-02,431.74,439.44,429.99,435.28,30757400,user_csv,pending,
2025-05-05,432.87,439.5,432.11,436.17,20136100,user_csv,pending,
2025-05-06,432.2,437.73,431.17,433.31,15104200,user_csv,pending,
2025-05-07,433.84,438.12,431.11,433.35,23295300,user_csv,pending,
2025-05-08,437.93,443.67,435.66,438.17,23491300,user_csv,pending,
2025-05-09,440,440.74,435.88,438.73,15324200,user_csv,pending,
2025-05-12,445.94,449.37,439.78,449.26,22821900,user_csv,pending,
2025-05-13,447.78,450.67,445.36,449.14,23618800,user_csv,pending,
2025-05-14,448.14,453.9,448.14,452.94,19902800,user_csv,pending,
2025-05-15,450.77,456.19,450.43,453.13,21992300,user_csv,pending,
2025-05-16,452.05,454.36,448.73,454.27,23849800,user_csv,pending,
2025-05-19,450.88,459.59,450.8,458.87,21336500,user_csv,pending,
2025-05-20,455.59,458.34,454.32,458.17,15441800,user_csv,pending,
2025-05-21,454.57,457.78,451.81,452.57,19216900,user_csv,pending,
2025-05-22,454.95,460.25,453.9,454.86,18025600,user_csv,pending,
2025-05-23,449.98,453.69,448.91,450.18,16883500,user_csv,pending,
2025-05-27,456.48,460.95,456.12,460.69,20974300,user_csv,pending,
2025-05-28,461.22,462.52,456.93,457.36,17086300,user_csv,pending,
2025-05-29,461.55,461.72,455.31,458.68,13974800,user_csv,pending,
2025-05-30,459.72,461.68,455.54,460.36,34770500,user_csv,pending,
2025-06-02,457.14,462.11,456.89,461.97,16626500,user_csv,pending,
2025-06-03,461.47,464.14,460.86,462.97,15743800,user_csv,pending,
2025-06-04,464,465.69,463.02,463.87,14162700,user_csv,pending,
2025-06-05,464.96,469.65,464.03,467.68,20131700,user_csv,pending,
2025-06-06,470.09,473.34,468.78,470.38,15285600,user_csv,pending,
2025-06-09,469.7,473.43,468.62,472.75,16469900,user_csv,pending,
2025-06-10,471.19,472.8,466.96,470.92,15375900,user_csv,pending,
2025-06-11,470.02,475.47,469.66,472.62,16399200,user_csv,pending,
2025-06-12,475.02,480.42,473.52,478.87,18950600,user_csv,pending,
2025-06-13,476.41,479.18,472.76,474.96,16814500,user_csv,pending,
2025-06-16,475.21,480.69,475,479.14,15626100,user_csv,pending,
2025-06-17,475.4,478.74,474.08,478.04,15414100,user_csv,pending,
2025-06-18,478,481,474.46,480.24,17526500,user_csv,pending,
2025-06-20,482.23,483.46,476.87,477.4,37576200,user_csv,pending,
2025-06-23,478.21,487.75,472.51,486,24864000,user_csv,pending,
2025-06-24,488.95,491.85,486.8,490.11,22305600,user_csv,pending,
2025-06-25,492.04,494.56,489.39,492.27,17495100,user_csv,pending,
2025-06-26,492.98,498.04,492.81,497.45,21578900,user_csv,pending,
2025-06-27,497.55,499.3,493.03,495.94,34539200,user_csv,pending,
2025-06-30,497.04,500.76,495.33,497.41,28369000,user_csv,pending,
2025-07-01,496.47,498.05,490.98,492.05,19945400,user_csv,pending,
2025-07-02,489.99,493.5,488.7,491.09,16319600,user_csv,pending,
2025-07-03,493.81,500.13,493.44,498.84,13984800,user_csv,pending,
2025-07-07,497.38,498.75,495.23,497.72,13981600,user_csv,pending,
2025-07-08,497.24,498.2,494.11,496.62,11846600,user_csv,pending,
2025-07-09,500.3,506.78,499.74,503.51,18659500,user_csv,pending,
2025-07-10,503.05,504.44,497.75,501.48,16492100,user_csv,pending,
2025-07-11,498.47,505.03,497.8,503.32,16459500,user_csv,pending,
2025-07-14,501.52,503.97,501.03,503.02,12058800,user_csv,pending,
2025-07-15,503.02,508.3,502.79,505.82,14927200,user_csv,pending,
2025-07-16,505.18,506.72,501.89,505.62,15154400,user_csv,pending,
2025-07-17,505.68,513.37,505.62,511.7,17503100,user_csv,pending,
2025-07-18,514.48,514.64,507.43,510.05,21209700,user_csv,pending,
2025-07-21,506.71,512.09,505.55,510.06,14066800,user_csv,pending,
2025-07-22,510.97,511.2,505.27,505.27,13868600,user_csv,pending,
2025-07-23,506.75,506.79,500.7,505.87,16396600,user_csv,pending,
2025-07-24,508.77,513.67,507.3,510.88,16107000,user_csv,pending,
2025-07-25,512.47,518.29,510.36,513.71,19125700,user_csv,pending,
2025-07-28,514.08,515,510.12,512.5,14308000,user_csv,pending,
2025-07-29,515.53,517.62,511.56,512.57,16469200,user_csv,pending,
2025-07-30,515.17,515.95,509.44,513.24,26380400,user_csv,pending,
2025-07-31,555.23,555.45,531.9,533.5,51617300,user_csv,pending,
2025-08-01,535,535.8,520.86,524.11,28977600,user_csv,pending,
2025-08-04,528.27,538.25,528.13,535.64,25349000,user_csv,pending,
2025-08-05,537.18,537.3,527.24,527.75,19171600,user_csv,pending,
2025-08-06,530.9,531.7,524.03,524.94,21355700,user_csv,pending,
2025-08-07,526.8,528.09,517.55,520.84,16079100,user_csv,pending,
2025-08-08,522.6,524.66,519.41,522.04,15531000,user_csv,pending,
2025-08-11,522.3,527.59,519.72,521.77,20194400,user_csv,pending,
2025-08-12,523.75,530.98,522.7,529.24,18667000,user_csv,pending,
2025-08-13,532.11,532.7,519.37,520.58,19619200,user_csv,pending,
2025-08-14,522.56,525.95,520.14,522.48,20269100,user_csv,pending,
2025-08-15,522.77,526.1,519.08,520.17,25213300,user_csv,pending,
2025-08-18,521.59,522.82,514.02,517.1,23760600,user_csv,pending,
2025-08-19,515,515.16,508.55,509.77,21481000,user_csv,pending,
2025-08-20,509.87,511,504.44,505.72,27723000,user_csv,pending,
2025-08-21,503.69,507.63,502.72,504.24,18443300,user_csv,pending,
2025-08-22,504.25,510.73,502.41,507.23,24324200,user_csv,pending,
2025-08-25,506.63,508.19,504.12,504.26,21638600,user_csv,pending,
2025-08-26,504.36,504.98,498.51,502.04,30835700,user_csv,pending,
2025-08-27,502,507.29,499.9,506.74,17277900,user_csv,pending,
2025-08-28,507.09,511.09,505.5,509.64,18015600,user_csv,pending,
2025-08-29,508.66,509.6,504.49,506.69,20961600,user_csv,pending,
2025-09-02,500.47,506,496.81,505.12,18128000,user_csv,pending,
2025-09-03,503.79,507.79,502.32,505.35,16345100,user_csv,pending,
2025-09-04,504.3,508.15,503.15,507.97,15509500,user_csv,pending,
2025-09-05,509.07,511.97,492.37,495,31994800,user_csv,pending,
2025-09-08,498.11,501.2,495.03,498.2,16771000,user_csv,pending,
2025-09-09,501.43,502.25,497.7,498.41,14410500,user_csv,pending,
2025-09-10,502.98,503.23,496.72,500.37,21611800,user_csv,pending,
2025-09-11,502.25,503.17,497.88,501.01,18881600,user_csv,pending,
2025-09-12,506.65,512.55,503.85,509.9,23624900,user_csv,pending,
2025-09-15,508.79,515.47,507,515.36,17143800,user_csv,pending,
2025-09-16,516.88,517.23,508.6,509.04,19711900,user_csv,pending,
2025-09-17,510.62,511.29,505.93,510.02,15816600,user_csv,pending,
2025-09-18,511.49,513.07,507.66,508.45,18913700,user_csv,pending,
2025-09-19,510.56,519.3,510.31,517.93,52474100,user_csv,pending,
2025-09-22,515.59,517.74,512.54,514.45,20009300,user_csv,pending,
2025-09-23,513.8,514.59,507.31,509.23,19799600,user_csv,pending,
2025-09-24,510.38,512.48,506.92,510.15,13533700,user_csv,pending,
2025-09-25,508.3,510.01,505.04,507.03,15786500,user_csv,pending,
2025-09-26,510.06,513.94,506.62,511.46,16213100,user_csv,pending,
2025-09-29,511.5,516.85,508.88,514.6,17617800,user_csv,pending,
2025-09-30,513.24,518.16,509.66,517.95,19728200,user_csv,pending,
2025-10-01,514.8,520.51,511.69,519.71,22632300,user_csv,pending,
2025-10-02,517.64,521.6,510.68,515.74,21222900,user_csv,pending,
2025-10-03,517.1,520.49,515,517.35,15112300,user_csv,pending,
2025-10-06,518.61,531.03,518.2,528.57,21388600,user_csv,pending,
2025-10-07,528.29,529.8,521.44,523.98,14615200,user_csv,pending,
2025-10-08,523.28,526.95,523.09,524.85,13363400,user_csv,pending,
2025-10-09,522.34,524.33,517.4,522.4,18343600,user_csv,pending,
2025-10-10,519.64,523.58,509.63,510.96,24133800,user_csv,pending,
2025-10-13,516.41,516.41,511.68,514.05,14284200,user_csv,pending,
2025-10-14,510.23,515.28,506,513.57,14684300,user_csv,pending,
2025-10-15,514.96,517.19,510,513.43,14694700,user_csv,pending,
2025-10-16,512.58,516.85,508.13,511.61,15559600,user_csv,pending,
2025-10-17,509.04,515.48,507.31,513.58,19798500,user_csv,pending,
2025-10-20,,,,,,,,
2025-10-27,530,530,530,530,,user_provided,âš ï¸ +2.0% vs search,Pre-market price
2025-10-28,532,532,532,532,,user_provided,,Pre-market price
2025-10-29,544,544,544,544,,user_provided,,Pre-market price