日期,操作类型,标的,数量,价格(USD),金额(USD),理由/触发条件,风险盘余额(USD),累计转回安全盘(USD)
2025-01-31,买入,MSFT,2,419.55,839.1,初始建仓,,
2025-03-31,买入,MSFT,1,377.8,377.8,加仓,,
2025-04-21,买入,MSFT,1,365,365,二次加仓,,
2025-05-01,卖出,MSFT,1,430.7,430.7,反弹减仓,,
2025-05-01,卖出,MSFT,1,430.8,430.8,反弹减仓,,
2025-05-05,卖出,MSFT,1,438,438,止盈,,
2025-05-08,卖出,MSFT,1,440,440,止盈,,
2025-08-18,买入,MSFT,1,520,520,新周期建仓,,
2025-08-19,买入,MSFT,3,513.5,1540.5,阶梯加仓,,
2025-08-19,买入,MSFT,3,514,1542,阶梯加仓,,
2025-08-19,买入,MSFT,3,514.5,1543.5,阶梯加仓,,
2025-08-20,买入,MSFT,1,508,508,加仓,,
2025-08-20,买入,MSFT,1,509,509,加仓,,
2025-08-20,买入,QQQ,1,567.5,567.5,纳指低吸,,
2025-08-20,买入,QQQ,1,568.5,568.5,纳指低吸,,
2025-08-26,买入,MSFT,2,500,1000,震荡区补仓,,
2025-09-02,买入,MSFT,2,498,996,下行区间加仓,,
2025-09-02,买入,QQQ,4,560,2240,节奏仓加仓,,
2025-09-02,买入,QQQ,2,565,1130,节奏仓加仓,,
2025-09-02,买入,QQQ,1,567,567,节奏仓加仓,,
2025-09-05,买入,MSFT,2,495,990,区间回补,,
2025-09-05,买入,MSFT,1,501,501,区间回补,,
2025-10-02,买入,GLD,2,352,704,防御仓建立,,
2025-10-10,买入,QQQ,3,588,1764,震荡低吸,,
2025-10-10,买入,QQQ,2,590,1180,震荡低吸,,
2025-10-10,买入,QQQ,2,592,1184,震荡低吸,,
2025-10-10,买入,TSLA,1,430,430,战术仓建仓,,
2025-10-10,买入,TSLA,1,432,432,战术仓建仓,,
2025-10-10,买入,TSLA,1,436,436,战术仓加仓,,
2025-10-22,买入,GLD,1,370,370,防御仓加仓,,
2025-10-22,买入,QQQ,1,600,600,节奏仓加仓,,
2025-10-23,买入,TSLA,1,420,420,战术仓低吸,,
2025-10-23,买入,TSLA,1,415,415,战术仓低吸,,
2025-10-27,买入,GLD,1,370,370,防御仓加仓,,
2025-10-29,买入,GLD,1,365,365,防御仓低吸,,
2025-11-04,买入,TSLA,1,440,440,盘前挂单成交（回调低吸）,,